num_pregunta,enunciado,opciones,respuesta_correcta
11,"Según dispone la Ley 16/2003, de 28 de mayo, de cohesión y calidad del Sistema Nacional de Salud, sus disposiciones se aplicarán a:","[""A los servicios sanitarios de financiación pública y a los privados, en los mismos términos."", ""A los servicios sanitarios de financiación pública. También a los privados en lo que se refiere al control de las actividades de salud pública y en materia de garantías de información, seguridad y calidad."", ""A los servicios sanitarios de financiación pública y a los privados concertados."", ""Únicamente a los servicios sanitarios de financiación pública.""]",1
12,"Según dispone la Ley 16/2003, de 28 de mayo, de cohesión y calidad del Sistema Nacional de Salud, la ciudadanía tendrá los siguientes derechos en el conjunto del Sistema Nacional de Salud:","[""A recibir asistencia sanitaria en su comunidad autónoma de residencia."", ""A recibir el reembolso de los gastos derivados de la asistencia en la sanidad privada cuando se trate de servicios recogidos en el catálogo de prestaciones del Sistema Nacional de Salud."", ""A recibir el reembolso de los gastos derivados de la asistencia sanitaria del catálogo de prestaciones del Sistema Nacional de Salud que pudiera requerir del servicio de salud de la comunidad autónoma en la que se encuentre desplazado/a."", ""Ninguna de las respuestas anteriores es correcta.""]",0
13,"Según dispone la Ley 16/2003, de 28 de mayo, de cohesión y calidad del Sistema Nacional de Salud, la cartera común de servicios del Sistema Nacional de Salud se articula en torno a las siguientes modalidades:","[""Cartera común básica de servicios asistenciales, cartera común suplementaria y cartera común de servicios accesorios."", ""Cartera común básica nacional de servicios asistenciales y cartera común autonómica de servicios asistenciales."", ""Cartera común nacional básica de servicios asistenciales, cartera común suplementaria autonómica y cartera común de servicios accesorios autonómicos."", ""Cartera común nacional y autonómica básica de servicios asistenciales, cartera común nacional y autonómica suplementaria y cartera común nacional y autonómica de servicios accesorios.""]",0
14,"Según dispone la Ley 16/2003, de 28 de mayo, de cohesión y calidad del Sistema Nacional de Salud, la cartera común básica de servicios asistenciales del Sistema Nacional de Salud comprende:","[""Todas las actividades asistenciales de prevención, diagnóstico, tratamiento y rehabilitación que se realicen en centros sanitarios o sociosanitarios, así como el transporte sanitario urgente, la prestación farmacéutica y la prestación ortoprotésica, cubiertos de forma completa por financiación pública."", ""Todas las actividades asistenciales de prevención, diagnóstico, tratamiento y rehabilitación que se realicen en centros sanitarios o sociosanitarios, así como el transporte sanitario urgente y la prestación farmacéutica, cubiertos de forma completa por financiación pública."", ""Todas las actividades asistenciales de prevención, diagnóstico, tratamiento y rehabilitación que se realicen en centros sanitarios o sociosanitarios, así como el transporte sanitario urgente, y la prestación ortoprotésica, cubiertos de forma completa por financiación pública."", ""Todas las actividades asistenciales de prevención, diagnóstico, tratamiento y rehabilitación que se realicen en centros sanitarios o sociosanitarios, así como el transporte sanitario urgente, cubiertos de forma completa por financiación pública.""]",3
15,"Según dispone la Ley 16/2003, de 28 de mayo, de cohesión y calidad del Sistema Nacional de Salud, la cartera común suplementaria del Sistema Nacional de Salud incluirá las siguientes prestaciones:","[""Únicamente la prestación farmacéutica."", ""Únicamente la prestación ortoprotésica."", ""Únicamente la prestación farmacéutica y la prestación ortoprotésica."", ""La prestación farmacéutica, la prestación ortoprotésica y la prestación con productos dietéticos.""]",3
16,"Según dispone la Ley 16/2003, de 28 de mayo, de cohesión y calidad del Sistema Nacional de Salud, la prestación de atención primaria no comprenderá:","[""La atención a la salud bucodental."", ""La atención paliativa a personas enfermas terminales."", ""La rehabilitación básica."", ""Ninguna de las respuestas anteriores es correcta.""]",3
17,"Según dispone la Ley 16/2003, de 28 de mayo, de cohesión y calidad del Sistema Nacional de Salud, para la elaboración del contenido de la cartera común de servicios del Sistema Nacional de Salud:","[""Es preceptivo el informe favorable de la Red Española de Agencias de Evaluación de Tecnologías Sanitarias y Prestaciones del Sistema Nacional de Salud, en relación con la eficacia, eficiencia, efectividad, seguridad y utilidad terapéuticas, así como las ventajas y alternativas asistenciales, el cuidado de grupos menos protegidos o de riesgo y las necesidades sociales, así como su impacto económico y organizativo."", ""Se contará con la participación de la Red Española de Agencias de Evaluación de Tecnologías Sanitarias y Prestaciones del Sistema Nacional de Salud, en la evaluación de la eficacia, eficiencia, efectividad, seguridad y utilidad terapéuticas, así como las ventajas y alternativas asistenciales, el cuidado de grupos menos protegidos o de riesgo y las necesidades sociales, así como su impacto económico y organizativo."", ""Es preceptivo el informe favorable de las sociedades científicas implicadas, en relación con la eficacia, eficiencia, efectividad, seguridad y utilidad terapéuticas, así como las ventajas y alternativas asistenciales, el cuidado de grupos menos protegidos o de riesgo y las necesidades sociales, así como su impacto económico y organizativo."", ""Se contará con la participación de las sociedades científicas implicadas, en la evaluación de la eficacia, eficiencia, efectividad, seguridad y utilidad terapéuticas, así como las ventajas y alternativas asistenciales, el cuidado de grupos menos protegidos o de riesgo y las necesidades sociales, así como su impacto económico y organizativo.""]",1
18,"Según dispone la Ley 16/2003, de 28 de mayo, de cohesión y calidad del Sistema Nacional de Salud, la exclusión de una técnica, tecnología o procedimiento actualmente incluido en la cartera de servicios se llevará a cabo cuando:","[""Se evidencie su falta de eficacia, efectividad o eficiencia, o que el balance entre beneficio y riesgo sea significativamente desfavorable."", ""Requiera una formación para la que no exista la especialidad médica correspondiente."", ""Hayan cambiado las condiciones económicas de su implantación."", ""Todas las respuestas anteriores son correctas.""]",0
19,"A los efectos de la Ley 16/2003, de 28 de mayo, de cohesión y calidad del Sistema Nacional de Salud, la competencia profesional es:","[""La acreditación de formación continuada a lo largo del desempeño de su carrera profesional."", ""La competencia acreditada por el título correspondiente acreditativo de la adquisición de conocimientos requeridos para el desempeño del puesto designado."", ""La aptitud del personal profesional sanitario para integrar y aplicar los conocimientos, habilidades y actitudes asociados a las buenas prácticas de su profesión para resolver los problemas que se le plantean."", ""La superación del proceso selectivo oficial convocado por la autoridad competente para la adquisición del vínculo estatutario con los servicios sanitarios.""]",2
20,"Según dispone la Ley 16/2003, de 28 de mayo, de cohesión y calidad del Sistema Nacional de Salud, la declaración de actuaciones coordinadas en salud pública y en seguridad alimentaria deberán encuadrarse en alguno de los supuestos siguientes:","[""Responder a situaciones de especial riesgo o alarma para la salud pública."", ""Establecer planes preventivos para hacer frente a situaciones de especial riesgo o alarma para la salud pública."", ""Realizar análisis epidemiológicos que permitan establecer estructuras y recursos según las previsiones en materia de salud pública y seguridad alimentaria."", ""Las respuestas a) y b) son verdaderas y la c) es falsa.""]",0
21,"Según dispone la Ley 55/2003, de 16 de diciembre, del Estatuto Marco del personal estatutario de los servicios de salud, la ordenación del régimen personal estatutario de los servicios de salud se rige por una serie de principios y criterios. Señale cuales no están entre los mencionados por esta ley.","[""Sometimiento pleno a la ley y el derecho."", ""Igualdad, mérito, capacidad y promoción en el acceso a la condición de personal estatutario."", ""Integración en el régimen organizativo y funcional del servicio de salud y de sus centros e instituciones."", ""Coordinación, cooperación y mutua información entre las Administraciones sanitarias públicas.""]",1
22,"La condición de personal estatutario fijo se adquiere, tal y como prevé la Ley 55/2003, de 16 de diciembre, del Estatuto Marco del personal estatutario de los servicios de salud, por el cumplimiento de los siguientes requisitos:","[""Incorporación a una plaza de servicio, institución o centro que corresponda en el plazo fijado en la convocatoria tras la superación de las pruebas de selección."", ""Superación de las pruebas de selección; nombramiento conferido por el órgano competente; e incorporación a una plaza del servicio, institución o centro que corresponda en el plazo de un mes."", ""Superación de las pruebas de selección; nombramiento conferido por el órgano competente; e incorporación, previo cumplimiento de los requisitos formales en cada caso establecidos, a una plaza del servicio, institución o centro que corresponda en el plazo determinado en la convocatoria."", ""Superación de las pruebas de selección; nombramiento conferido por el órgano competente; e incorporación a una plaza del servicio, institución o centro que corresponda en todo caso en el plazo determinado en la convocatoria.""]",2
23,"Según dice la Ley 55/2003, de 16 de diciembre, del Estatuto Marco del personal estatutario de los servicios de salud, en el proceso de la adquisición de la condición de personal estatutario fijo, no podrán recibir nombramiento y quedarán sin efecto las actuaciones de quienes:","[""No acrediten que reúnen los requisitos y condiciones exigidos en la convocatoria, una vez superado el proceso selectivo."", ""No acrediten que reúnen los requisitos y condiciones exigidos en la convocatoria, con carácter previo a la superación del proceso selectivo."", ""No acrediten que reúnen los requisitos y condiciones exigidos en la convocatoria, una vez firmada la convocatoria."", ""Una vez superado el proceso selectivo, automáticamente se procede al nombramiento por el órgano competente.""]",0
24,"La pérdida de la condición de personal estatutario regulada en la Ley 55/2003, de 16 de diciembre, del Estatuto Marco del personal estatutario de los servicios de salud, se produce:","[""Siempre en caso de pena de inhabilitación especial para empleo o cargo público, afecte o no al correspondiente nombramiento."", ""En caso de que se adopte la pena de inhabilitación absoluta sea firme o no."", ""En caso de que se adopte la pena de inhabilitación especial para la correspondiente profesión, siempre que esta exceda de seis años."", ""En caso de que se adopte la pena de inhabilitación especial para la correspondiente profesión, siempre que esta exceda de tres años.""]",2
25,"Conforme a la Ley 55/2003, de 16 de diciembre, del Estatuto Marco del personal estatutario de los servicios de salud, señale cuál de las siguientes afirmaciones no es correcta:","[""La jubilación puede ser forzosa o voluntaria."", ""Para que la persona interesada pueda prolongar su permanencia en servicio activo hasta cumplir los 70 años, bastará con que lo solicite voluntariamente."", ""La jubilación forzosa se declarará al cumplir la persona interesada 65 años."", ""Podrá optar a la jubilación voluntaria, total o parcial, el personal estatutario que reúna los requisitos establecidos en la legislación de Seguridad Social.""]",1
26,Procede la extinción de la condición de personal estatutario fijo de los servicios de salud:,"[""Cuando se produzca la pérdida de la nacionalidad."", ""En caso de recaer sanción firme disciplinaria de separación del servicio."", ""Siempre que se imponga una pena principal o accesoria de inhabilitación especial para empleo o cargo público o para el ejercicio de la correspondiente profesión."", ""Todas las anteriores respuestas son correctas.""]",3
27,"En materia de retribuciones, la Ley 55/2003, de 16 de diciembre, del Estatuto Marco del personal estatutario de los servicios de salud, prevé que:","[""El sistema retributivo del personal estatutario se estructura en retribuciones básicas y retribuciones complementarias."", ""La evaluación del personal estatutario a efectos de determinación de una parte de la retribuciones complementarias se establecerá a través de procedimientos fundados en los principios igualdad, objetividad y transparencia."", ""El sistema retributivo del personal estatutario responde a los principios de cualificación técnica y profesional."", ""Todas las respuestas son correctas.""]",3
28,"De acuerdo con la Ley 55/2003, de 16 de diciembre, del Estatuto Marco del personal estatutario de los servicios de salud, señale la respuesta correcta respecto a las retribuciones del personal estatutario de los servicios de salud:","[""Las retribuciones básicas son: el sueldo asignado a cada categoría en función del título exigido para su desempeño; los trienios; y las pagas extraordinarias."", ""Las retribuciones básicas serán iguales en todos los servicios de salud independientemente de la anualidad en la que se perciban."", ""El personal estatutario temporal percibirá la totalidad de las retribuciones que, en el correspondiente servicio de salud, correspondan a su nombramiento, con excepción del complemento de carrera."", ""El complemento de atención continuada está destinado a retribuir la iniciativa continuada y permanente de la persona titular del puesto.""]",0
29,La pérdida de la condición de personal estatutario de los servicios de salud se produce cuando la incapacidad permanente sea declarada:,"[""En grado de incapacidad permanente total para la profesión habitual."", ""En grado de incapacidad absoluta para todo trabajo."", ""En grado de gran invalidez."", ""Todas las respuestas son correctas.""]",3
30,En el supuesto del personal estatutario de los servicios de salud:,"[""El período de localización es aquel período de tiempo en el que el personal se encuentra únicamente en situación de disponibilidad."", ""Se considera período de descanso todo período de tiempo que no sea tiempo de trabajo."", ""El trabajo por turnos es una forma de organización del trabajo en equipo con arreglo al ritmo rotatorio y siempre de tipo continuo."", ""El período de localización es aquel período de tiempo en el que el personal se encuentra en situación de disponibilidad a los solos efectos de asegurar su posible localización.""]",1
31,"Para el personal estatutario de los servicios de salud, el período nocturno tendrá la siguiente duración:","[""Mínima de siete horas e incluirá necesariamente el período comprendido entre las cero y las cinco horas de cada día natural."", ""Mínima de ocho horas e incluirá necesariamente el período comprendido entre las cero y las cinco horas de cada día natural."", ""Mínima de ocho horas e incluirá necesariamente el período comprendido entre las doce y las cinco horas de cada día natural."", ""Mínima de siete horas e incluirá necesariamente el período comprendido entre las doce y las cinco horas de cada día natural.""]",0
32,"Según establece la Ley 55/2003, de 16 de diciembre, del Estatuto Marco del personal estatutario de los servicios de salud:","[""Resulta incompatible para el personal estatutario de los servicios de salud el ejercicio de las funciones sanitarias con cualquier otro tipo de funciones."", ""Al personal estatutario de los servicios de salud le resulta aplicable el mismo régimen de incompatibilidades establecido para el personal funcionario."", ""Atendiendo a lo que establezca la legislación vigente, el personal estatutario de los servicios de salud podrá compatibilizar las funciones sanitarias y docente."", ""Para el personal licenciado sanitario el complemento específico resulta irrenunciable.""]",2
33,"La Ley 55/2003, de 16 de diciembre, del Estatuto Marco del personal estatutario de los servicios de salud regula el descanso semanal. Señale la respuesta que no es correcta:","[""El personal tendrá derecho a un período mínimo que siempre será fijo de descanso ininterrumpido con una duración media de 24 horas semanales."", ""El período de referencia para el cálculo del período de descanso semanal será de tres meses."", ""En el caso de que no se hubiera disfrutado del tiempo mínimo de descanso semanal en el período de tres meses se producirá una compensación a través del régimen de descansos alternativos."", ""El período de referencia para el cálculo del período de descanso semanal será de dos meses.""]",3
34,"Conforme a la Ley 55/2003, de 16 de diciembre, del Estatuto Marco del personal estatutario de los servicios de salud:","[""El personal tendrá derecho a una vacación retribuida cuya duración no será inferior en ningún caso a 30 días naturales."", ""El personal estatutario de los servicios de salud podrá elegir sustituir el período de vacación por una compensación económica."", ""Solo podrá ser sustituido por una compensación económica el período vacacional anual mediante la programación funcional de los centros, cuando así lo aconsejen razones organizativas."", ""Anualmente, el personal tendrá derecho a una vacación retribuida cuya duración no será inferior a 30 días naturales, o al tiempo que proporcionalmente corresponda en función del tiempo de servicios.""]",3
35,La excedencia voluntaria solicitada por el personal estatutario de los servicios de salud por interés particular exige haber prestado servicios efectivos en cualquiera de las Administraciones públicas durante:,"[""Los cinco años inmediatamente anteriores."", ""Los cuatro años inmediatamente anteriores."", ""Los dos años inmediatamente anteriores."", ""Los tres años inmediatamente anteriores.""]",0
36,"La Ley 8/1997, de 26 de junio, de ordenación Sanitaria de Euskadi, establece que la Administración sanitaria vasca debe garantizar la tutela general de la salud pública a través de:","[""Medidas preventivas."", ""Promoción de la salud."", ""Prestaciones sanitarias individuales."", ""Son correctas todas las respuestas.""]",3
37,"La Ley 8/1997, de 26 de junio, de ordenación Sanitaria de Euskadi, reconoce la universalidad del derecho a la protección de la salud para:","[""Todas las personas residentes en el territorio de Euskadi, así como para las personas transeúntes."", ""Todas las personas residentes en Euskadi o fuera de Euskadi, así como para las personas transeúntes."", ""Solo para las personas que tengan vecindad administrativa en Euskadi."", ""Solo para las personas de quienes pueda predicarse la condición política de vascos.""]",0
38,"Señale cuál de los siguientes principios no se enuncian entre los principios informadores del sistema sanitario de Euskadi en la Ley 8/1997, de 26 de junio, de ordenación Sanitaria de Euskadi:","[""Universalidad."", ""Solidaridad ciudadana."", ""Equidad."", ""Calidad de los servicios.""]",1
39,"La Ley 8/1997, de 26 de junio, de ordenación Sanitaria de Euskadi, establece respecto a las áreas de salud que:","[""La Comunidad Autónoma del País Vasco se divide territorialmente en áreas de salud de acuerdo con la situación socio-económica de cada demarcación geográfica."", ""En cada área de salud pueden ponerse en práctica las actuaciones esenciales que requiere la tutela general de la salud pública y exclusivamente la asistencia sanitaria primaria ."", ""En cada área de salud se garantizará una adecuada ordenación de la atención primaria y su coordinación con la atención especializada."", ""Son correctas la a) y la c).""]",2
40,"La Ley 8/1997, de 26 de junio, de ordenación Sanitaria de Euskadi prevé la creación de sistemas de información necesarios para facilitar el ejercicio adecuado de los distintos niveles de responsabilidad en el sistema. A tal fin, los datos de carácter personal relativos a la salud podrán ser recabados y tratados siempre que se cumplan los siguientes requisitos:","[""Siempre debe constar el previo consentimiento de la persona afectada."", ""Si no consta el previo consentimiento de la persona afectada se requiere que la actuación se encuentre debidamente autorizada y se efectúe previo procedimiento de disociación que garantice el anonimato de la información."", ""Que conste el previo consentimiento de la persona afectada por escrito y que se garantice el anonimato de la información."", ""Basta con que la actuación se encuentre debidamente autorizada.""]",1
41,"La Ley 8/1997, de 26 de junio, de Ordenación Sanitaria de Euskadi al contemplar los derechos y deberes ciudadanos, alude a:","[""La obligación de dejar constancia escrita de todo proceso diagnóstico o terapéutico."", ""La obligación de dejar constancia por cualquier medio de todo proceso diagnóstico."", ""La obligación de dejar constancia por cualquier medio de todo proceso diagnóstico o terapéutico."", ""No existe en la Ley ninguna previsión a este respecto, de modo que será el personal facultativo el que decida si el proceso diagnóstico o terapéutico debe quedar registrado.""]",0
42,"El contrato-programa, tal y como establece la Ley 8/1997, de 26 de junio, de Ordenación Sanitaria de Euskadi:","[""Es el instrumento jurídico mediante el que se articulan las relaciones entre el Gobierno Vasco y las organizaciones del ente público Osakidetza-Servicio Vasco de Salud para la provisión de servicios sanitarios."", ""Es el instrumento jurídico mediante el que se articulan de manera directa las relaciones entre el Departamento competente en materia de sanidad y las organizaciones del ente público Osakidetza-Servicio Vasco de Salud que tiene naturaleza jurídica de concierto."", ""Es el instrumento jurídico mediante el que se articulan de manera directa las relaciones entre el Departamento competente en materia de sanidad y las organizaciones del ente público Osakidetza-Servicio Vasco de Salud que tiene naturaleza jurídica de un convenio de carácter especial."", ""Ninguna respuesta es correcta.""]",2
43,El consejo de administración de Osakidetza-Servicio Vasco de Salud está integrado por:,"[""La persona titular de la presidencia y por un número no superior a cinco miembros en representación de la Administración de la Comunidad Autónoma de Euskadi."", ""La persona titular de la presidencia y por un número no superior a tres miembros en representación de la Administración de la Comunidad Autónoma de Euskadi."", ""La persona titular de la presidencia y por cinco miembros en representación del Departamento competente en materia de sanidad."", ""La persona titular de la presidencia, la Consejería del Departamento competente en materia de sanidad y tres miembros en representación de la Administración de la Comunidad Autónoma de Euskadi.""]",0
44,"Según establece la Ley 8/1997, de 26 de junio, de Ordenación Sanitaria de Euskadi:","[""El Plan de Salud de Euskadi debe ser aprobado por el Parlamento Vasco."", ""El Departamento competente en materia de sanidad debe elaborar semestralmente y remitir al Parlamento un informe con la evaluación de los objetivos y determinaciones del Plan de Salud de Euskadi."", ""El Departamento competente en materia de sanidad debe elaborar anualmente y remitir al Parlamento un informe con la evaluación de los objetivos y determinaciones del Plan de Salud de Euskadi."", ""Son correctas las respuestas a) y c).""]",2
45,"A los efectos de la Ley 8/1997, de 26 de junio, de Ordenación Sanitaria de Euskadi, las plantillas de personal del ente público Osakidetza-Servicio Vasco de Salud:","[""Serán aprobadas por la Presidencia a propuesta del consejo de administración."", ""Se denomina así al número de efectivos de carácter estructural con que cuentan tanto su organización central de administración como las organizaciones de servicios dependientes de Osakidetza-Servicio Vasco de Salud."", ""Deberán ajustarse al número máximo de efectivos, según grupos profesionales, que anualmente aprobará su consejo de administración a propuesta del Departamento de Sanidad."", ""Deberán ajustarse al número máximo de efectivos, según grupos de titulación, que anualmente aprobará el Departamento de Sanidad.""]",1
46,"En el ámbito territorial de la Comunidad Autónoma de Euskadi, las inspecciones necesarias para asegurar el cumplimiento de lo previsto en la Ley 8/1997, de 26 de junio, de Ordenación Sanitaria de Euskadi y en el resto de la legislación sanitaria corresponde:","[""A la inspección de trabajo del País Vasco adscrita al Departamento de trabajo y empleo del Gobierno Vasco."", ""En todos los casos a las corporaciones locales de la Comunidad Autónoma."", ""Al Departamento competente en materia de sanidad."", ""La inspección en materia sanitaria no es competencia de la Comunidad Autónoma de Euskadi.""]",2
47,"Señale cuál de los siguientes criterios no está contemplado en la Ley 8/1997, de 26 de junio, de Ordenación Sanitaria de Euskadi para la clasificación de las infracciones en leves, graves o muy graves:","[""La cuantía de la indemnización solicitada."", ""Los riesgos para la salud."", ""El grado de intencionalidad."", ""La gravedad de la alteración sanitaria y social producida.""]",0
